270_0 270 1 1
270_0 . 0 1
270_0 letters 1 1
270_0 orders 1 1
270_0 and 1 1
270_0 instructions 1 1
270_0 october 1 1
270_0 1755 1 1
270_10 october 1 1
270_10 26th 1 1
270_10 . 0 1
270_10 ing 0 0.273284
270_10 ting 0 0.157886
270_10 an 0 0.115498
270_10 in 0 0.0734348
270_10 long 0 0.0661
270_10 on 0 0.0439292
270_10 n 0 0.0282192
270_10 and 0 0.0217836
270_10 i 0 0.0723972
270_10 turn 0 0.0191825
270_10 or 0 0.00843394
270_10 hogg 0 0.00725418
270_10 than 0 0.00632259
270_10 gw 1 1
270_10 can 0 0.00941626
270_10 man 0 0.00401623
270_10 no 0 0.00368034
270_10 dag 0 0.00330671
270_10 curing 0 0.00325964
270_10 ar 0 0.00294037
270_10 non 0 0.00256057
270_10 our 0 0.00260902
270_10 go 0 0.00302107
270_10 tin 0 0.00232118
270_10 tain 0 0.00189055
270_10 ten 0 0.00184149
270_10 tar 0 0.00173214
270_10 a 0 0.00395938
270_10 to 0 0.0035982
270_10 grain 0 0.000919848
270_10 ons 0 0.000826159
270_10 en 0 0.000678772
270_10 ren 0 0.000656024
270_10 for 0 0.00059873
270_10 lar 0 0.000568052
270_10 at 0 0.00184236
270_10 men 0 0.000505933
270_10 are 0 0.000492048
270_10 it 0 0.00176707
270_10 tion 0 0.00043755
270_10 any 0 0.000486587
270_10 things 0 0.000406674
270_10 mr 0 0.00067693
270_10 gons 0 0.000350448
270_10 nor 0 0.000355634
270_10 hon 0 0.00031343
270_10 if 0 0.000949483
270_10 burg 0 0.000271275
270_10 strong 0 0.000249933
270_10 nothing 0 0.000214175
270_10 return 0 0.000211228
270_10 large 0 0.000210652
270_10 your 0 0.000194792
270_10 gage 0 0.000206893
270_10 allen 0 0.00012796
270_10 not 0 0.0001284
270_10 one 0 0.000101609
270_10 con 0 9.80508e-05
270_10 hoggs 0 9.44658e-05
270_10 all 0 0.000107449
270_10 ours 0 8.99382e-05
270_10 arts 0 8.65851e-05
270_10 ral 0 8.25263e-05
